skill,filter_type,skill_subsuper,freqcy_2015,freqcy_2016,freqcy_2017,y2015_71338,y2016_232021,y2017_129322
personal style,no_filter,,0,42,61,,,
extrovert,no_filter,,0,71,41,,,
basic japanese,no_filter,,0,21,19,,,
leading large teams,no_filter,,0,11,13,,,
committment,no_filter,,0,23,11,,,
determined to succeed,no_filter,,0,10,9,,,
bilingual proficiency,subsuper,,0,27,8,,,
administartion,no_filter,,0,6,5,,,
delivering technical training,no_filter,,0,4,4,,,
personal injury,no_filter,,0,4,4,,,
certified financial planner,subsuper,,0,8,3,,,
hardwork,no_filter,,0,8,2,,,
cruise ships,subsuper,,0,2,2,,,
excavators,no_filter,,0,1,2,,,
injection molding machines,subsuper,,0,0,2,,,
basics of unix,no_filter,,0,0,2,,,
convincing power,subsuper,,0,1,1,,,
international distribution,subsuper,,0,0,1,,,
volunteer engagement,subsuper,,0,0,1,,,
espresso machines,no_filter,,0,0,1,,,
solid computer skills,subsuper,,0,11,0,,,
addictions,no_filter,,0,2,0,,,
dart for publishers,no_filter,,0,2,0,,,
ibm spss statistics,subsuper,,0,1,0,,,
acquistions,no_filter,,0,1,0,,,
contract negotiating,subsuper,,0,0,0,,,
reality tv,subsuper,,0,0,0,,,
whiteboards,subsuper,,0,0,0,,,
call center software,subsuper,,0,0,0,,,
surface grinding machines,subsuper,,0,0,0,,,
oracle hyperion software,subsuper,,0,0,0,,,
body armor,no_filter,,0,0,0,,,
coin counting machines,no_filter,,0,0,0,,,
drop tables,no_filter,,0,0,0,,,
forks,no_filter,,0,0,0,,,
post once,no_filter,,0,0,0,,,
safety vests,no_filter,,0,0,0,,,
signal lights,no_filter,,0,0,0,,,
spoons,no_filter,,0,0,0,,,
squares,no_filter,,0,0,0,,,
underwear,no_filter,,0,0,0,,,
adaptable to changes,subsuper,,1,134,75,,,
certified public accountant,subsuper,,1,84,64,,,
logical thinker,no_filter,,1,41,53,,,
certified internal auditor,subsuper,,1,55,40,,,
facebook ads,subsuper,,1,25,35,,,
quick thinker,no_filter,,1,21,32,,,
client service oriented,subsuper,,1,34,22,,,
passion to succeed,no_filter,,1,24,21,,,
managing it infrastructure,no_filter,,1,35,20,,,
sap mm module,subsuper,,1,34,19,,,
pro engineer,no_filter,,1,35,14,,,
skilled communicator,subsuper,,1,2,14,,,
certified project manager,subsuper,,1,12,12,,,
perfectionist,no_filter,,1,26,11,,,
occupational first aid,no_filter,,1,14,9,,,
innovative problem solver,subsuper,,1,11,8,,,
basic photoshop,no_filter,,1,10,8,,,
certified ethical hacker,subsuper,,1,5,7,,,
ubs accounting system,subsuper,,1,8,5,,,
goggles,no_filter,,1,2,5,,,
awesomeness,no_filter,,1,0,5,,,
womenswear,no_filter,,1,2,4,,,
human relationship,no_filter,,1,1,4,,,
networking essentials,subsuper,,1,16,3,,,
binoculars,no_filter,,1,0,3,,,
needles,no_filter,,1,5,2,,,
social media strategist,subsuper,,1,1,2,,,
teaching adults,subsuper,,1,5,1,,,
mobile money,no_filter,,1,5,1,,,
organisation change,subsuper,,1,2,1,,,
administraion,no_filter,,1,2,1,,,
handheld scanners,no_filter,,1,2,1,,,
camcorders,no_filter,,1,1,1,,,
lingerie,no_filter,,1,1,1,,,
lifting belts,subsuper,,1,0,1,,,
administrative professionals,no_filter,,1,0,1,,,
spirituality,no_filter,,1,0,1,,,
keyboard skills,no_filter,,1,54,0,,,
phone skills,no_filter,,1,52,0,,,
editorial skills,subsuper,,1,20,0,,,
secretarial skills,subsuper,,1,8,0,,,
eco friendly,no_filter,,1,5,0,,,
strategic selling skills,subsuper,,1,3,0,,,
employee hiring,no_filter,,1,1,0,,,
exercise bands,subsuper,,1,0,0,,,
emergency lights,subsuper,,1,0,0,,,
route cases,subsuper,,1,0,0,,,
siemens teamcenter,subsuper,,1,0,0,,,
career transitions,subsuper,,1,0,0,,,
human modeling software,subsuper,,1,0,0,,,
bowling balls,no_filter,,1,0,0,,,
china sourcing,no_filter,,1,0,0,,,
dusters,no_filter,,1,0,0,,,
job description creation,no_filter,,1,0,0,,,
master of ceremonies,no_filter,,1,0,0,,,
preparing business cases,no_filter,,1,0,0,,,
safety showers,no_filter,,1,0,0,,,
shoe lasts,no_filter,,1,0,0,,,
pointers,no_filter,,2,1,94,,,
basic html,no_filter,,2,59,55,,,
fluent mandarin,subsuper,,2,64,33,,,
initiator,no_filter,,2,37,28,,,
staffing industry,subsuper,,2,14,28,,,
leading people,no_filter,,2,21,21,,,
comit,no_filter,,2,31,20,,,
multitasker,no_filter,,2,12,19,,,
passion for success,no_filter,,2,54,11,,,
cash handling experience,no_filter,,2,11,11,,,
overcoming challenges,no_filter,,2,17,10,,,
dedication to work,no_filter,,2,14,9,,,
knives,no_filter,,2,6,9,,,
at multitasking,no_filter,,2,14,7,,,
separations,no_filter,,2,5,7,,,
organisational behaviour,no_filter,,2,4,7,,,
win32,numerical,,2,16,6,,,
as400 system,subsuper,,2,14,6,,,
result oriented approach,subsuper,,2,5,5,,,
dedicated to work,no_filter,,2,5,5,,,
songs,no_filter,,2,3,5,,,
general practice,no_filter,,2,12,4,,,
executive positions,no_filter,,2,2,4,,,
ship repair manager,subsuper,,2,1,4,,,
registered nurses,no_filter,,2,1,4,,,
interactive whiteboards,subsuper,,2,0,3,,,
feature articles,no_filter,,2,7,2,,,
menswear,no_filter,,2,4,2,,,
hiring personnel,no_filter,,2,2,2,,,
sponges,no_filter,,2,1,2,,,
options pricing,subsuper,,2,5,1,,,
building business relationships,no_filter,,2,4,1,,,
experienced trainer,subsuper,,2,1,1,,,
negociation,no_filter,,2,1,1,,,
hiring employees,no_filter,,2,0,1,,,
sleeping,no_filter,,2,0,1,,,
alternative energy,no_filter,,2,3,0,,,
conductivity meters,no_filter,,2,3,0,,,
adapt it,no_filter,,2,1,0,,,
relationship mgmt,no_filter,,2,1,0,,,
receipt books,subsuper,,2,0,0,,,
ministry of defence,subsuper,,2,0,0,,,
hammers,subsuper,,2,0,0,,,
housekeeping carts,subsuper,,2,0,0,,,
metering pumps,subsuper,,2,0,0,,,
optical price scanners,subsuper,,2,0,0,,,
accurate record keeping,no_filter,,2,0,0,,,
box cutters,no_filter,,2,0,0,,,
certain software,no_filter,,2,0,0,,,
direct recruiting,no_filter,,2,0,0,,,
first responder,no_filter,,2,0,0,,,
measuring tapes,no_filter,,2,0,0,,,
monorails,no_filter,,2,0,0,,,
computer proficiency,subsuper,,3,215,120,,,
positive personality,subsuper,,3,136,72,,,
determination to succeed,subsuper,,3,103,43,,,
human relations,no_filter,,3,39,43,,,
certified scrum master,subsuper,,3,41,35,,,
ready to learn,no_filter,,3,34,27,,,
acta certified,subsuper,,3,70,26,,,
hard worker,no_filter,,3,46,25,,,
sap sd module,subsuper,,3,41,15,,,
automobiles,no_filter,,3,20,10,,,
large format printing,no_filter,,3,6,8,,,
masks,no_filter,,3,12,7,,,
deal making,no_filter,,3,7,7,,,
couples,no_filter,,3,9,5,,,
innovativeness,no_filter,,3,3,3,,,
headphones,no_filter,,3,1,3,,,
building customer loyalty,no_filter,,3,6,2,,,
driving profitability,subsuper,,3,3,2,,,
masterplanning,no_filter,,3,2,2,,,
online user experience,no_filter,,3,3,1,,,
professional staffing,subsuper,,3,0,1,,,
ferries,no_filter,,3,0,1,,,
fundraisers,no_filter,,3,0,1,,,
sales skills training,no_filter,,3,0,1,,,
great people skills,subsuper,,3,6,0,,,
jacks,subsuper,,3,5,0,,,
dividers,no_filter,,3,4,0,,,
emergency room,subsuper,,3,1,0,,,
coats,no_filter,,3,1,0,,,
professional counseling,subsuper,,3,0,0,,,
strengthening client relationships,subsuper,,3,0,0,,,
air blowers,no_filter,,3,0,0,,,
ambulances,no_filter,,3,0,0,,,
limousines,no_filter,,3,0,0,,,
chartered accountant,no_filter,,4,217,159,,,
fast learning,no_filter,,4,37,49,,,
positivity,no_filter,,4,48,29,,,
project managment,no_filter,,4,41,15,,,
network analyzers,no_filter,,4,29,15,,,
basic photography,no_filter,,4,18,10,,,
love to learn,no_filter,,4,58,9,,,
front arena,subsuper,,4,15,8,,,
herbal,no_filter,,4,8,7,,,
managing deadlines,no_filter,,4,6,6,,,
bicycles,no_filter,,4,18,5,,,
delivering on time,no_filter,,4,10,5,,,
mentoring of staff,no_filter,,4,5,4,,,
consultative selling style,subsuper,,4,0,3,,,
plannning,no_filter,,4,5,2,,,
blogger outreach,subsuper,,4,3,2,,,
website copy,no_filter,,4,1,2,,,
visionary thinking,subsuper,,4,0,2,,,
listening to customers,subsuper,,4,1,1,,,
driving sales performance,subsuper,,4,0,1,,,
multitasking skills,no_filter,,4,86,0,,,
program management skills,no_filter,,4,57,0,,,
entrepreneurial skills,no_filter,,4,36,0,,,
headhunters,no_filter,,4,11,0,,,
irons,subsuper,,4,2,0,,,
facials,no_filter,,4,1,0,,,
strategic sales initiatives,subsuper,,4,0,0,,,
ironing boards,no_filter,,4,0,0,,,
personal effectiveness,no_filter,,5,61,66,,,
dealing with ambiguity,no_filter,,5,64,59,,,
comfortable working independently,no_filter,,5,37,41,,,
master mariner,no_filter,,5,67,38,,,
fear,no_filter,,5,29,23,,,
ibm websphere mq,subsuper,,5,78,21,,,
managing processes,no_filter,,5,40,21,,,
sap material management,subsuper,,5,26,16,,,
business process excellence,no_filter,,5,10,15,,,
presenting to clients,subsuper,,5,19,11,,,
professional networking,subsuper,,5,14,10,,,
managing key accounts,subsuper,,5,6,8,,,
connecting people,no_filter,,5,1,7,,,
doubleclick for publishers,no_filter,,5,9,6,,,
mediterranean,no_filter,,5,3,5,,,
weapons,no_filter,,5,0,4,,,
change communication,subsuper,,5,3,3,,,
assessment centres,no_filter,,5,3,2,,,
intellectual property issues,subsuper,,5,2,2,,,
technical due diligence,no_filter,,5,2,2,,,
battery chargers,no_filter,,5,1,2,,,
depression,subsuper,,5,0,1,,,
powerpoint skills,no_filter,,5,332,0,,,
teaching skills,no_filter,,5,28,0,,,
increased profitability,subsuper,,5,0,0,,,
botox,no_filter,,5,0,0,,,
thumb drives,no_filter,,5,0,0,,,
grunt,no_filter,,6,192,94,,,
vendor management experience,subsuper,,6,71,49,,,
proactivity,no_filter,,6,65,37,,,
basic java,no_filter,,6,25,17,,,
clean energy,no_filter,,6,13,12,,,
timely decision making,subsuper,,6,4,6,,,
business in china,no_filter,,6,8,4,,,
musicians,no_filter,,6,6,2,,,
proven leadership skills,subsuper,,6,145,0,,,
telephone skills,no_filter,,6,93,0,,,
indirect sales channels,subsuper,,6,1,0,,,
air dryers,no_filter,,6,0,0,,,
brand ambassadors,no_filter,,6,0,0,,,
project management professional,subsuper,,7,165,148,,,
itil v3 foundation,subsuper,,7,137,94,,,
positive energy,no_filter,,7,61,53,,,
energetic team player,subsuper,,7,57,36,,,
persuasiveness,no_filter,,7,72,29,,,
ich guidelines,no_filter,,7,52,26,,,
grip,no_filter,,7,6,5,,,
vans,subsuper,,7,7,4,,,
human development,no_filter,,7,0,3,,,
brakes,no_filter,,7,2,2,,,
inspiring people,no_filter,,7,6,1,,,
prepaid cards,no_filter,,7,2,1,,,
dedicated professional,no_filter,,7,0,1,,,
managerial skills,subsuper,,7,149,0,,,
interview skills,no_filter,,7,34,0,,,
hotspot,no_filter,,7,1,0,,,
cash registers,no_filter,,7,0,0,,,
perseverance,no_filter,,8,271,220,,,
target oriented,no_filter,,8,335,130,,,
human resources management,subsuper,,8,225,119,,,
friendly personality,subsuper,,8,142,82,,,
achieving results,no_filter,,8,90,81,,,
inventor,no_filter,,8,110,47,,,
mitsubishi,no_filter,,8,39,35,,,
bulk carriers,no_filter,,8,17,15,,,
online video,no_filter,,8,33,14,,,
pets,no_filter,,8,24,14,,,
mixer,no_filter,,8,18,14,,,
special event,subsuper,,8,3,7,,,
personal protection,no_filter,,8,6,3,,,
recruitment process outsourcing,subsuper,,8,10,2,,,
social skills,subsuper,,8,158,0,,,
outspoken,no_filter,,9,352,125,,,
committed to work,no_filter,,9,157,90,,,
direct response,no_filter,,9,55,36,,,
enthusiast,no_filter,,9,54,32,,,
outside sales,no_filter,,9,8,14,,,
clerical work,no_filter,,9,29,11,,,
sustainable energy,no_filter,,9,5,10,,,
industrials,no_filter,,9,11,8,,,
change leadership,subsuper,,9,22,7,,,
managing database,no_filter,,9,28,6,,,
leadership initiatives,no_filter,,9,0,5,,,
calculators,no_filter,,9,13,3,,,
coordinating events,no_filter,,9,5,3,,,
herbs,no_filter,,9,4,3,,,
bathrooms,no_filter,,9,1,3,,,
advertising copy,subsuper,,9,3,1,,,
headhunt,no_filter,,9,2,1,,,
freedom to operate,no_filter,,9,0,1,,,
negotiation skill,subsuper,,9,178,0,,,
disc,no_filter,,10,3,91,,,
humor,no_filter,,10,111,88,,,
superior client service,subsuper,,10,50,34,,,
quality center,no_filter,,10,149,27,,,
ladders,no_filter,,10,18,14,,,
grains,no_filter,,10,7,7,,,
promos,no_filter,,10,4,6,,,
smiling,no_filter,,10,11,4,,,
scissors,no_filter,,10,9,2,,,
exceptional people skills,subsuper,,10,9,0,,,
business affairs,no_filter,,10,1,0,,,
proficient in english,no_filter,,11,930,571,,,
design pattern,no_filter,,11,81,80,,,
solid works,no_filter,,11,136,64,,,
interpersonal savvy,subsuper,,11,26,20,,,
particles,no_filter,,11,8,10,,,
turnarounds,no_filter,,11,6,8,,,
basic networking,subsuper,,12,154,99,,,
design of experiment,no_filter,,12,44,48,,,
home care,no_filter,,12,34,35,,,
texture,subsuper,,12,58,26,,,
personal training,no_filter,,12,50,20,,,
marketing online,no_filter,,12,39,15,,,
development of people,no_filter,,12,10,6,,,
relaxation,no_filter,,12,13,5,,,
driving business growth,subsuper,,12,6,2,,,
event organizer,subsuper,,12,5,2,,,
celebrity,no_filter,,12,4,1,,,
training skills,no_filter,,12,128,0,,,
active listening,subsuper,,13,159,158,,,
confined space,subsuper,,13,147,47,,,
basic sql,no_filter,,13,57,35,,,
lasers,subsuper,,13,34,34,,,
leading change,subsuper,,13,37,27,,,
electricians,no_filter,,13,20,13,,,
boats,no_filter,,13,8,12,,,
drinking,subsuper,,13,8,11,,,
print ads,subsuper,,13,12,6,,,
government affairs,no_filter,,13,6,4,,,
compensations,no_filter,,13,2,4,,,
administrative assistants,no_filter,,13,1,2,,,
listener,no_filter,,14,213,215,,,
versatility,no_filter,,14,53,76,,,
wireless communications,no_filter,,14,63,36,,,
non destructive testing,no_filter,,14,16,19,,,
sponsoring,no_filter,,14,12,14,,,
sales excellence,no_filter,,14,7,13,,,
head hunting,no_filter,,14,13,8,,,
bands,subsuper,,14,17,7,,,
monthly close,no_filter,,14,7,6,,,
safety shoes,no_filter,,14,89,5,,,
coaching staff,no_filter,,14,6,2,,,
eagerness to learn,no_filter,,15,134,82,,,
managing events,no_filter,,15,19,25,,,
flexible benefits,subsuper,,15,27,19,,,
surgeons,no_filter,,15,14,12,,,
total quality management,subsuper,,15,29,10,,,
call centers,no_filter,,15,14,8,,,
winches,subsuper,,15,26,6,,,
driving operational excellence,subsuper,,15,10,3,,,
drinking water,subsuper,,15,1,3,,,
deadline driven,no_filter,,16,290,205,,,
deep excavation,no_filter,,16,69,36,,,
loaders,subsuper,,16,31,19,,,
financial due diligence,no_filter,,16,49,12,,,
eating,no_filter,,16,140,8,,,
voice over,subsuper,,16,33,7,,,
sales force effectiveness,no_filter,,16,10,7,,,
branding initiatives,no_filter,,16,3,2,,,
client facing skills,no_filter,,16,172,0,,,
presentation preparation,subsuper,,17,17,17,,,
fragrances,no_filter,,17,24,15,,,
springs,no_filter,,17,32,14,,,
accurate data entry,subsuper,,17,19,11,,,
integrated marketing communications,subsuper,,17,9,8,,,
handheld devices,no_filter,,17,19,5,,,
it savvy,no_filter,,18,801,441,,,
social work,subsuper,,18,355,216,,,
offset,no_filter,,18,252,134,,,
innovator,no_filter,,18,27,23,,,
adventure,no_filter,,18,46,22,,,
disks,no_filter,,18,27,15,,,
slots,no_filter,,18,81,6,,,
cost saving initiatives,no_filter,,18,4,6,,,
work well independently,no_filter,,19,311,178,,,
analytical approach,subsuper,,19,100,75,,,
interiors,no_filter,,19,84,30,,,
flying,no_filter,,19,17,14,,,
long term care,no_filter,,19,10,13,,,
logos,subsuper,,19,9,12,,,
developing client relationships,subsuper,,19,20,10,,,
reorganization,no_filter,,19,3,9,,,
professional engineer,no_filter,,20,165,108,,,
security clearance,no_filter,,20,134,55,,,
research methodology,subsuper,,20,38,24,,,
weights,no_filter,,20,18,11,,,
leadership skill,subsuper,,20,210,0,,,
service now,no_filter,,21,75,58,,,
total rewards,subsuper,,21,24,57,,,
database management systems,subsuper,,21,86,44,,,
grids,no_filter,,21,30,16,,,
pharmacists,no_filter,,21,17,5,,,
conditioning,subsuper,,22,463,139,,,
gadgets,no_filter,,22,61,36,,,
advertising and promotions,subsuper,,22,7,5,,,
basic programming,subsuper,,23,131,108,,,
excel macros,no_filter,,23,167,76,,,
self management,subsuper,,23,86,65,,,
active team player,subsuper,,24,256,129,,,
people leadership,no_filter,,24,46,49,,,
premiere,subsuper,,24,231,42,,,
metering,subsuper,,24,82,33,,,
relocations,no_filter,,24,14,5,,,
innovative thinking,subsuper,,25,85,94,,,
personal computers,subsuper,,25,23,25,,,
driving growth,subsuper,,25,20,25,,,
minute taking,no_filter,,25,11,7,,,
control self assessment,subsuper,,25,16,6,,,
banking and finance,subsuper,,27,379,2059,,,
auto cad,subsuper,,27,319,177,,,
marketing digital,no_filter,,27,70,65,,,
copy writing,no_filter,,27,101,57,,,
personal protective equipment,no_filter,,27,10,21,,,
magic,no_filter,,27,22,7,,,
supervisory experience,subsuper,,28,1352,674,,,
managerial experience,subsuper,,28,740,296,,,
leading projects,no_filter,,28,74,59,,,
casualty,no_filter,,28,83,52,,,
pet,no_filter,,28,38,35,,,
teambuilding,no_filter,,28,30,20,,,
south america,no_filter,,28,7,14,,,
goal oriented,no_filter,,29,541,385,,,
patience,no_filter,,29,515,301,,,
early childhood,no_filter,,29,983,283,,,
dairy,no_filter,,29,85,56,,,
visionary,subsuper,,29,70,54,,,
good clinical practice,subsuper,,29,48,25,,,
detail engineering,no_filter,,29,42,22,,,
issues management,no_filter,,29,23,21,,,
banquets,no_filter,,29,15,10,,,
coordinate events,no_filter,,29,3,2,,,
procure to pay,no_filter,,30,40,34,,,
fresh ideas,no_filter,,30,35,23,,,
supplements,subsuper,,30,8,22,,,
master planning,no_filter,,30,31,15,,,
brand communications,no_filter,,30,35,9,,,
facilitators,no_filter,,30,8,7,,,
personas,no_filter,,31,78,30,,,
trucks,subsuper,,31,30,23,,,
operations excellence,no_filter,,31,11,15,,,
client communications,no_filter,,31,23,13,,,
completions,no_filter,,31,24,7,,,
new hire orientation,subsuper,,31,8,3,,,
scrum master,subsuper,,32,200,154,,,
inpatient,no_filter,,32,41,26,,,
it skills,no_filter,,32,915,0,,,
special needs,no_filter,,33,141,103,,,
rock,no_filter,,33,39,50,,,
stands,no_filter,,33,24,9,,,
interpersonal skill,subsuper,,33,1293,0,,,
listening skills,subsuper,,33,558,0,,,
sense of responsibility,subsuper,,34,1141,673,,,
business events,subsuper,,34,55,26,,,
open minded,no_filter,,35,439,387,,,
